umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
87.0,16.8,927.1,-3.537,1.9,19.0
85.0,15.9,927.4,-3.54,2.7,18.5
86.0,16.1,927.8,31.435,2.7,18.4
79.0,16.2,928.3,612.786,3.2,20.0
67.0,15.5,928.8,1494.933,3.1,21.8
60.0,15.6,929.0,2409.167,2.7,23.9
54.0,15.4,929.0,3142.949,2.3,25.3
51.0,16.1,928.6,3637.754,2.6,27.0
47.0,15.8,928.1,3868.999,1.8,28.2
45.0,16.4,927.4,3841.828,2.3,29.8
43.0,15.7,926.6,2889.638,2.4,29.5
37.0,13.8,925.6,2879.302,2.8,30.1
39.0,14.2,924.8,2123.533,2.8,29.8
42.0,14.3,924.7,865.939,2.1,28.6
46.0,14.8,925.3,172.024,2.1,27.3
54.0,15.4,925.7,-0.819,1.7,25.3
58.0,15.8,926.6,-3.54,2.2,24.4
62.0,15.8,927.0,-3.54,2.4,23.4
64.0,15.6,927.6,-3.48,2.0,22.7
65.0,15.5,927.7,-3.54,2.4,22.3
71.0,16.1,927.2,-3.54,2.9,21.6
78.0,16.9,926.9,-3.54,2.9,20.8
84.0,17.4,926.5,-3.54,3.1,20.2
89.0,17.4,926.6,-3.54,2.9,19.4
89.0,17.3,926.6,-3.54,3.0,19.2
89.0,17.3,927.2,-3.54,3.4,19.1
87.0,17.2,928.2,27.243,2.9,19.3
81.0,17.4,929.1,641.995,2.9,20.9
74.0,16.8,929.4,1079.223,2.9,21.6
70.0,16.9,929.7,1484.862,2.9,22.7
62.0,17.2,929.2,3158.004,2.9,25.1
58.0,17.9,928.9,3652.57,3.5,26.9
50.0,16.7,928.1,3970.963,1.6,28.0
47.0,16.1,927.5,3446.853,2.4,28.4
43.0,16.2,926.7,3704.075,0.9,30.0
38.0,14.9,925.6,3119.037,0.6,30.9
39.0,14.7,925.3,2341.035,1.8,30.4
40.0,14.7,925.4,1304.605,1.3,29.8
46.0,15.5,925.7,298.567,1.1,28.3
50.0,15.2,925.9,2.857,1.5,26.4
59.0,16.3,926.6,-3.54,1.2,24.8
62.0,16.1,927.3,-3.54,1.6,23.8
61.0,15.6,927.6,-3.54,2.2,23.5
62.0,15.3,927.6,-3.54,2.0,23.1
66.0,15.8,927.3,-3.54,2.8,22.4
80.0,17.9,926.9,-3.54,2.8,21.5
86.0,18.4,926.6,-3.54,2.3,20.8
87.0,18.4,926.8,-3.54,2.5,20.6
89.0,18.5,927.0,-3.54,1.8,20.3
90.0,18.3,927.4,-3.54,2.6,20.1
87.0,18.4,928.3,32.239,2.8,20.6
82.0,18.0,929.3,234.04,3.3,21.3
79.0,18.4,929.5,561.699,2.7,22.2
71.0,18.1,930.1,1536.68,3.6,23.6
69.0,18.2,930.1,1255.71,3.2,24.1
63.0,18.3,929.8,2345.478,3.1,25.9
59.0,18.1,929.1,2774.097,3.4,26.9
53.0,17.2,928.4,2815.266,3.1,27.6
48.0,17.4,927.4,3409.134,2.6,29.4
46.0,16.4,926.4,2695.69,3.2,29.4
43.0,16.0,925.6,2086.078,3.6,30.1
41.0,14.5,925.5,1329.581,3.4,29.3
43.0,14.1,925.7,392.463,2.8,28.0
46.0,13.9,926.7,1.638,2.6,26.6
55.0,14.9,927.2,-3.54,1.6,24.4
59.0,15.4,927.8,-3.54,2.1,24.0
61.0,15.8,928.2,-3.54,2.9,23.8
69.0,17.0,928.1,-3.54,2.6,23.0
71.0,17.1,927.4,-3.54,3.6,22.7
75.0,17.1,927.1,-3.54,3.9,21.9
77.0,16.8,927.2,-3.54,3.5,21.0
76.0,16.0,927.3,-3.54,3.3,20.4
81.0,16.2,927.3,-3.54,2.5,19.6
83.0,16.3,927.6,-3.54,3.2,19.4
81.0,16.2,928.1,25.018,3.4,19.6
78.0,17.1,928.5,490.26,3.0,21.1
74.0,18.3,929.2,1379.285,3.7,23.2
73.0,18.0,929.7,1647.875,3.0,23.2
70.0,18.9,929.6,1507.344,3.2,24.9
62.0,18.4,929.1,2339.119,3.4,26.4
52.0,17.3,928.3,3409.882,3.4,28.1
49.0,16.8,927.5,3058.338,3.5,28.6
47.0,16.7,926.9,2454.364,2.9,29.2
41.0,15.6,926.1,2529.165,2.7,30.1
41.0,15.6,925.4,2097.027,3.0,30.1
42.0,14.5,925.0,974.312,3.5,28.6
44.0,14.3,925.4,414.805,2.4,27.7
48.0,15.0,926.0,-0.027,2.5,26.7
59.0,16.9,926.6,-3.54,3.3,25.5
61.0,15.8,927.4,-3.54,4.9,23.7
73.0,17.8,928.0,-3.54,3.9,23.0
74.0,17.7,928.0,-3.54,3.7,22.6
78.0,17.8,927.4,-3.54,2.8,21.8
84.0,18.1,926.9,-3.54,3.0,20.9
84.0,18.3,926.9,-3.482,2.4,21.0
84.0,18.0,926.8,-3.54,2.9,20.9
81.0,17.0,926.9,-3.54,2.6,20.3
