umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
94.0,23.3,1006.9,-1.93,0.0,24.3
94.0,23.2,1007.4,-2.216,0.9,24.2
95.0,23.2,1007.4,-2.107,0.0,24.1
95.0,23.2,1007.0,-1.463,0.0,24.1
95.0,23.1,1006.6,-0.406,0.0,24.0
95.0,23.3,1006.3,-1.589,0.0,24.1
95.0,23.3,1006.0,-0.879,0.3,24.1
95.0,23.0,1006.1,-1.088,0.0,23.9
95.0,23.6,1007.0,-1.212,0.3,24.4
92.0,23.0,1007.4,80.285,0.1,24.3
89.0,23.3,1008.1,430.124,0.1,25.2
86.0,23.1,1009.1,782.046,0.8,25.7
84.0,23.5,1009.4,976.369,0.1,26.6
77.0,22.9,1009.3,1066.939,0.0,27.3
76.0,23.4,1008.1,2052.398,0.8,28.2
91.0,24.5,1007.2,659.402,0.4,26.0
81.0,24.3,1005.8,1483.468,0.0,28.0
83.0,24.1,1005.5,1221.434,0.6,27.2
88.0,24.0,1005.1,788.036,1.8,26.2
94.0,23.7,1005.7,218.015,0.5,24.7
94.0,23.4,1007.1,14.244,2.9,24.4
95.0,21.7,1007.5,1.362,2.7,22.6
95.0,21.6,1008.2,-0.271,1.8,22.3
95.0,21.5,1008.6,-1.44,1.8,22.4
95.0,21.7,1010.2,-1.803,0.2,22.5
96.0,21.7,1009.8,-1.471,0.0,22.4
96.0,21.6,1009.3,-1.491,0.0,22.4
96.0,21.8,1008.6,-1.094,0.0,22.5
96.0,21.6,1007.7,-1.621,0.0,22.3
96.0,21.5,1006.7,-2.068,0.0,22.3
96.0,21.7,1007.1,-1.923,0.0,22.4
96.0,21.8,1007.2,-1.782,0.0,22.5
96.0,21.8,1007.4,-1.116,0.0,22.5
94.0,22.4,1008.4,82.942,2.0,23.4
89.0,22.7,1008.7,691.576,1.6,24.7
85.0,22.7,1008.8,1127.786,2.4,25.4
79.0,23.4,1008.9,2182.266,2.7,27.3
76.0,23.9,1008.9,2495.561,2.8,28.6
